,0,1,2,3
202410010408,枠連,1-2,710,3
202410010408,馬連,1-3,1320,2
202410010408,ワイド,1-3,570,3
202410010408,ワイド,1-5,520,2
202410010408,ワイド,3-5,930,10
202410010408,馬単,1→3,2460,3
202410010408,三連複,1-3-5,3250,4
202410010408,三連単,1→3→5,12930,8
202410010409,単勝,15,290,1
202410010409,複勝,10,180,3
202410010409,複勝,12,420,8
202410010409,枠連,6-8,800,2
202410010409,馬連,10-15,810,2
202410010409,ワイド,10-15,400,3
202410010409,ワイド,12-15,790,5
202410010409,ワイド,10-12,1180,13
202410010409,馬単,15→10,1400,3
202410010409,三連複,10-12-15,3630,6
202410010409,三連単,15→10→12,11560,14
202410010410,単勝,1,210,1
202410010410,複勝,1,120,1
202410010410,複勝,11,290,6
202410010410,枠連,1-8,1730,8
202410010410,馬連,1-11,1870,6
202410010410,ワイド,1-11,630,10
202410010410,ワイド,1-4,320,1
202410010410,ワイド,4-11,1030,14
202410010410,馬単,1→11,2820,9
202410010410,三連複,1-4-11,2990,7
202410010410,三連単,1→11→4,12540,33
202410010411,単勝,15,340,1
202410010411,複勝,15,170,1
202410010411,複勝,13,680,12
202410010411,複勝,1,220,3
202410010411,枠連,7-8,1550,7
202410010411,馬連,13-15,8370,33
202410010411,ワイド,13-15,2720,36
202410010411,ワイド,1-15,530,2
202410010411,ワイド,1-13,3920,49
202410010411,馬単,15→13,12230,51
202410010411,三連複,1-13-15,15060,56
202410010411,三連単,15→13→1,88000,310
202410010412,単勝,15,440,2
202410010412,複勝,15,180,3
202410010412,複勝,8,300,6
202410010412,枠連,6-8,900,4
202410010412,馬連,10-15,1070,2
202410010412,ワイド,10-15,410,2
202410010412,ワイド,8-15,790,8
202410010412,ワイド,8-10,790,7
202410010412,馬単,15→10,2130,2
202410010412,三連複,8-10-15,3270,5
202410010412,三連単,15→10→8,12170,10
202410010501,単勝,11,330,2
202410010501,複勝,11,120,2
202410010501,複勝,9,280,6
202410010501,枠連,8-8,330,1
202410010501,馬連,11-12,370,1
202410010501,ワイド,11-12,180,1
202410010501,ワイド,9-11,670,9
202410010501,ワイド,9-12,840,12
202410010501,馬単,11→12,840,2
202410010501,三連複,9-11-12,1790,5
202410010501,三連単,11→12→9,6240,14
202410010502,単勝,8,930,5
202410010502,複勝,8,260,6
202410010502,複勝,2,440,7
202410010502,枠連,5-8,770,4
202410010502,馬連,8-13,1400,4
202410010502,ワイド,8-13,490,4
202410010502,ワイド,2-8,1670,18
202410010502,ワイド,2-13,1240,16
202410010502,馬単,8→13,3320,13
202410010502,三連複,2-8-13,6470,23
202410010502,三連単,8→13→2,38170,132
202410010503,単勝,6,230,1
202410010503,複勝,6,130,1
202410010503,複勝,1,230,5
202410010503,複勝,2,140,2
202410010503,枠連,1-6,1090,5
202410010503,馬連,1-6,910,4
202410010503,ワイド,1-6,340,4
202410010503,ワイド,2-6,250,1
202410010503,ワイド,1-2,730,9
