race_id,式別,馬番,配当,人気
202405010505,複勝,6,240,4
202405010505,枠連,1-6,2250,8
202405010505,馬連,1-11,5280,15
202405010505,ワイド,1-11,1330,14
202405010505,ワイド,1-6,640,6
202405010505,ワイド,6-11,2910,30
202405010505,馬単,1→11,6610,22
202405010505,三連複,1-6-11,15960,41
202405010505,三連単,1→11→6,69890,175
202405010506,単勝,8,540,3
202405010506,複勝,8,200,3
202405010506,複勝,6,1090,10
202405010506,複勝,13,140,1
202405010506,枠連,3-4,14140,25
202405010506,馬連,6-8,14180,30
202405010506,ワイド,6-8,2960,27
202405010506,ワイド,8-13,340,2
202405010506,ワイド,6-13,3070,28
202405010506,馬単,8→6,23870,57
202405010506,三連複,6-8-13,13630,44
202405010506,三連単,8→6→13,109050,305
202405010507,単勝,4,170,1
202405010507,複勝,4,110,1
202405010507,複勝,9,140,2
202405010507,複勝,12,180,4
202405010507,枠連,4-6,230,1
202405010507,馬連,4-9,410,2
202405010507,ワイド,4-9,210,2
202405010507,ワイド,4-12,280,3
202405010507,ワイド,9-12,480,6
202405010507,馬単,4→9,560,2
202405010507,三連複,4-9-12,1020,2
202405010507,三連単,4→9→12,2870,4
202405010508,単勝,3,360,2
202405010508,複勝,3,150,2
202405010508,複勝,13,140,1
202405010508,複勝,12,300,7
202405010508,枠連,2-7,370,1
202405010508,馬連,3-13,590,1
202405010508,ワイド,3-13,290,1
202405010508,ワイド,3-12,1120,14
202405010508,ワイド,12-13,730,8
202405010508,馬単,3→13,1300,2
202405010508,三連複,3-12-13,4010,9
202405010508,三連単,3→13→12,17300,36
202405010509,単勝,4,620,3
202405010509,複勝,4,250,4
202405010509,複勝,6,660,10
202405010509,複勝,12,200,3
202405010509,枠連,4-5,3360,13
202405010509,馬連,4-6,7110,26
202405010509,ワイド,4-6,2080,25
202405010509,ワイド,4-12,1160,12
202405010509,ワイド,6-12,3360,36
202405010509,馬単,4→6,7520,25
202405010509,三連複,4-6-12,26500,78
202405010509,三連単,4→6→12,133200,369
202405010510,単勝,5,1180,4
202405010510,複勝,5,280,3
202405010510,複勝,8,570,7
202405010510,複勝,10,1500,12
202405010510,枠連,3-4,3600,14
202405010510,馬連,5-8,9670,24
202405010510,ワイド,5-8,2630,25
202405010510,ワイド,5-10,12440,69
202405010510,ワイド,8-10,13710,74
202405010510,馬単,5→8,20500,53
202405010510,三連複,5-8-10,243060,294
202405010510,三連単,5→8→10,1175160,1
202405010511,単勝,13,310,1
202405010511,複勝,13,140,1
202405010511,複勝,3,160,3
202405010511,複勝,8,180,4
202405010511,枠連,3-8,650,2
202405010511,馬連,3-13,870,3
202405010511,ワイド,3-13,330,2
202405010511,ワイド,8-13,380,4
202405010511,ワイド,3-8,530,7
202405010511,馬単,13→3,1500,3
202405010511,三連複,3-8-13,1800,3
202405010511,三連単,13→3→8,7330,12
202405010512,単勝,7,310,1
202405010512,複勝,7,140,1
202405010512,複勝,13,170,2
202405010512,複勝,10,760,9
202405010512,枠連,4-7,570,3
202405010512,馬連,7-13,750,3
202405010512,ワイド,7-13,350,2
202405010512,ワイド,7-10,2560,24
202405010512,ワイド,10-13,2480,23
202405010512,馬単,7→13,1410,4
202405010512,三連複,7-10-13,7930,23
202405010512,三連単,7→13→10,25370,68
202405010601,単勝,7,190,1
202405010601,複勝,7,120,1
202405010601,複勝,11,280,5
202405010601,複勝,9,260,4
202405010601,枠連,4-6,960,3
202405010601,馬連,7-11,1460,5
202405010601,ワイド,7-11,610,7
202405010601,ワイド,7-9,540,5
202405010601,ワイド,9-11,1620,18
202405010601,馬単,7→11,1810,7
202405010601,三連複,7-9-11,3920,12
202405010601,三連単,7→11→9,11350,30
202405010602,単勝,6,180,1
202405010602,複勝,6,110,1
202405010602,複勝,9,220,3
202405010602,複勝,12,410,8
202405010602,枠連,3-5,810,3
202405010602,馬連,6-9,840,3
202405010602,ワイド,6-9,350,3
202405010602,ワイド,6-12,940,10
202405010602,ワイド,9-12,2890,29
202405010602,馬単,6→9,960,3
202405010602,三連複,6-9-12,5940,19
202405010602,三連単,6→9→12,14510,45
202405010603,単勝,15,340,2
202405010603,複勝,15,150,2
202405010603,複勝,8,150,3
202405010603,複勝,5,170,4
202405010603,枠連,4-8,540,3
202405010603,馬連,8-15,590,2
202405010603,ワイド,8-15,310,2
202405010603,ワイド,5-15,370,4
202405010603,ワイド,5-8,440,6
202405010603,馬単,15→8,1050,2
202405010603,三連複,5-8-15,1160,2
202405010603,三連単,15→8→5,4220,3
202405010604,単勝,9,6440,11
202405010604,複勝,9,1180,11
202405010604,複勝,16,590,9
202405010604,複勝,4,170,2
202405010604,枠連,5-8,4550,17
202405010604,馬連,9-16,37390,55
202405010604,ワイド,9-16,5440,44
202405010604,ワイド,4-9,2770,30
202405010604,ワイド,4-16,1340,15
202405010604,馬単,9→16,95100,126
202405010604,三連複,4-9-16,40360,101
202405010604,三連単,9→16→4,533770,852
202405010605,単勝,6,190,1
202405010605,複勝,6,110,1
202405010605,複勝,5,270,6
202405010605,複勝,11,110,2
202405010605,枠連,3-3,2850,7
202405010605,馬連,5-6,2370,6
202405010605,ワイド,5-6,600,10
202405010605,ワイド,6-11,130,1
202405010605,ワイド,5-11,660,11
202405010605,馬単,6→5,2710,7
202405010605,三連複,5-6-11,860,4
202405010605,三連単,6→5→11,6310,18
202405010606,単勝,6,150,1
202405010606,複勝,6,110,1
202405010606,複勝,1,110,2
202405010606,複勝,7,140,3
202405010606,枠連,1-6,200,1
202405010606,馬連,1-6,190,1
202405010606,ワイド,1-6,120,1
202405010606,ワイド,6-7,220,2
202405010606,ワイド,1-7,250,3
202405010606,馬単,6→1,230,1
202405010606,三連複,1-6-7,350,1
202405010606,三連単,6→1→7,760,1
202405010607,単勝,15,280,1
202405010607,複勝,15,150,1
202405010607,複勝,4,610,10
202405010607,複勝,10,230,3
202405010607,枠連,3-8,1130,4
202405010607,馬連,4-15,3480,13
202405010607,ワイド,4-15,1270,17
202405010607,ワイド,10-15,450,1
202405010607,ワイド,4-10,2280,33
