,0,1,2,3
202101010604,ワイド,6-8,1750,17
202101010604,ワイド,8-10,680,6
202101010604,馬単,6→10,1820,5
202101010604,三連複,6-8-10,3290,7
202101010604,三連単,6→10→8,20910,63
202101010605,単勝,7,3090,6
202101010605,複勝,7,1000,6
202101010605,複勝,4,440,5
202101010605,複勝,1,290,2
202101010605,枠連,4-7,7470,19
202101010605,馬連,4-7,12770,27
202101010605,ワイド,4-7,2860,26
202101010605,ワイド,1-7,1560,16
202101010605,ワイド,1-4,720,6
202101010605,馬単,7→4,31250,55
202101010605,三連複,1-4-7,13820,36
202101010605,三連単,7→4→1,174490,294
202101010606,単勝,2,540,3
202101010606,複勝,2,230,3
202101010606,複勝,4,240,4
202101010606,複勝,6,200,2
202101010606,枠連,2-4,440,2
202101010606,馬連,2-4,2190,9
202101010606,ワイド,2-4,870,10
202101010606,ワイド,2-6,610,6
202101010606,ワイド,4-6,490,4
202101010606,馬単,2→4,3370,11
202101010606,三連複,2-4-6,3070,9
202101010606,三連単,2→4→6,17110,47
202101010607,単勝,5,240,1
202101010607,複勝,6,320,7
202101010607,複勝,1,110,1
202101010607,枠連,4-4,2810,11
202101010607,馬連,5-6,2140,9
202101010607,ワイド,5-6,850,10
202101010607,ワイド,1-5,190,1
202101010607,ワイド,1-6,890,11
202101010607,馬単,5→6,3140,10
202101010607,三連複,1-5-6,2360,5
202101010607,三連単,5→6→1,11060,27
202101010608,単勝,1,190,1
202101010608,複勝,13,240,5
202101010608,複勝,7,210,4
202101010608,枠連,1-8,540,2
202101010608,馬連,1-13,1530,5
202101010608,ワイド,1-13,540,5
202101010608,ワイド,1-7,430,3
202101010608,ワイド,7-13,1110,15
202101010608,馬単,1→13,2270,6
202101010608,三連複,1-7-13,3380,10
202101010608,三連単,1→13→7,13560,32
202101010609,単勝,8,800,4
202101010609,複勝,10,140,1
202101010609,複勝,6,150,2
202101010609,枠連,5-6,710,2
